data,descricao,abrangencia
2025-03-05,Quarta Feira de Cinzas,FACULTATIVO
2025-04-18,Sexta-Feira Santa,NACIONAL
2025-04-21,Dia de Tiradentes,NACIONAL
2025-04-23,Dia de São Jorge,ESTADUAL
2025-05-01,Dia do Trabalho,NACIONAL
2025-06-19,Corpus Christi,FACULTATIVO
2025-09-07,Independência do Brasil,NACIONAL
2025-10-12,Nossa Senhora Aparecida,NACIONAL
2025-10-28,Dia do Servidor Público,FACULTATIVO
2025-11-02,Dia de Finados,NACIONAL
2025-11-15,Proclamação da República,NACIONAL
2025-11-20,Consciência Negra,NACIONAL
2025-11-20,Dia da Consciência Negra,ESTADUAL
2025-12-25,Natal,NACIONAL
2025-12-31,"Após o meio-dia, Véspera de Ano Novo",FACULTATIVO
2026-01-01,Ano Novo,NACIONAL
2026-01-20,"Dia de São Sebastião, Padroeiro da cidade",MUNICIPAL
2026-03-04,Carnaval,ESTADUAL
2026-04-03,Sexta-Feira Santa,NACIONAL
2026-04-21,Dia de Tiradentes,NACIONAL
2026-04-23,Dia de São Jorge,MUNICIPAL
2026-05-01,Dia do Trabalho,NACIONAL
2026-09-07,Independência do Brasil,NACIONAL
2026-10-12,Nossa Senhora Aparecida,NACIONAL
2026-11-02,Dia de Finados,NACIONAL
2026-11-15,Proclamação da República,NACIONAL
2026-11-20,Consciência Negra,NACIONAL
2026-11-20,Consciência Negra,NACIONAL
2026-12-25,Natal,NACIONAL
